Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,0.670064,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,0.675921,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,0.669185,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,0.656007,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,0.643707,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,0.651321,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,0.652492,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,0.659521,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,0.660693,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,0.663621,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,0.656593,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,0.646049,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,0.647807,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,0.648393,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,0.647221,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,0.640778,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,0.644293,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,0.637264,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,0.634043,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,0.623206,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,0.615299,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,0.634921,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,0.649564,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,0.653664,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,0.645464,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,0.646137,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,0.646724,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,0.647309,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,0.651996,432000
